Memory_Cache_Size(MB)    Throughput((ops/sec)    Latency(us)       Gets       Puts      Succ_gets   Cache_Used
---------------------------------------------------------------------------------------------------------------
      256                     178.43                 5597.71      1187688    1003167     143879       64664
      512                     213.43                 4679.21      1366314    1182569     341116       128749                     
      768                     271.28                 3680.58      1624810    1440444     619269       194487
      1024                    374.17                 2667.99      2049380    1866304     1064354      261278
      1280                    603.65                 1652.77      2875485    2693841     1933349      326316
      1536                    1554.90                640.62       6212016    6034864     5362725      389515
      1792                    4132.30                239.77       15245075   15069503    14632699     436804
      2048                    4283.33                231.39       15072187   14895510    14467419     428091
      2304                    4191.03                236.60       15440030   15263847    14835334     428513
      2560                    4257.17                232.88       15697420   15521169    15092651     428518
                         
