Memory_Cache_Size(MB)    Throughput((ops/sec)      Latency(us)     Gets       Puts      Succ_gets   Cache_Used
---------------------------------------------------------------------------------------------------------------
      256                    184.35                 5417.70       799030     698001       142466      64015
      512                    226.35                 4410.67       970714     869258       344954      126992
      768                    307.68                 3243.84       1304778    1203291      699984      196107
      1024                   549.62                 1815.53       2299133    2197482      1729913     258673
      1280                   1613.70                616.03        6635091    6534185      6207218     326951
      1536                   1547.34                643.57        6364090    6261698      5943662     318020
      1792                   1632.10                609.84        6699311    6596787      6278578     318193
      2048                   1637.07                608.07        6723804    6621406      6303386     318005
      2304                   1624.10                613.11        6669174    6566704      6248737     317951
      2560                   1638.28                607.74        6728972    6626522      6308546     317960
      2816                   1636.63                608.23        6721621    6619224      6301242     317966
                         
