Memory_Cache_Size(MB)    Throughput(mb/s)    Latency(ms)    Gets         Puts      Succ_gets    Cache_Used
-----------------------------------------------------------------------------------------------------------
      256                     24.6               38.3       3608250      3409089      370888       64505     
      512                     29.2               37.0       4307078      4105930      899257       130577  
      768                     33.9               31.9       5006168      4804563      1566611      194624 
      1024                    38.3               28.2       5657751      5456641      2367767      258538 
      1280                    47.6               22.7       6991916      3682882      6789783      325717 
      1536                    54.9               19.7       8055051      7853115      5098577      391146 
      1792                    73.9               14.6       10840573     10641192     8074563      457189  
      2048                    100.7              10.7       14770075     14571199     12661291     521364  
      2304                    129.6              7.7        19189797     18997801     18160826     583023
      2560                    169.9              3.8        25424588     25224516     24638083     586432 
      2816                    169.3              3.9        25292266     25112343     24505846     606497
      3072                    168.7              3.9        25333866     25148599     24547443     601156
      3328                    170.2              3.8        25450002     25260261     24663581     596680
      3853                    168.3              3.8        25117585     24933086     24331160     601926
