SSD_Cache_Size(MB)  Throughput(mb/s) Latency(ms)   Gets         Puts    Sgets
256                 107.8             37.7       12291172    12120090   31386   
512                 106.3             40.2       12176588    12024900   43273       
768                 106.9             40.3       12269292    11943936   31731        
1024                103.4             45.4       11822941    11635359   36173          
1280                104.7             42.8       12001538    11833518   158280                  
1536                104.8             37.5       11766372    11635679   150669                             
2048                111.8             25.3       13100211    12918552   2761696                          
4096                113.4             22.1       13361210    13165806   3746225                            
5120                114.0             20.6       13381898    13172772   4252394
6144                111.5             21.7       11464587    11369882   3500730
7168                70.9              63.7       8286926     6357806    8192017
8192                72.3              62.9       8340706     8153953    6411563  
                           
