Cache_Size(MB)    Throughput(mb/s)    Latency(ms)    Total_gets    Puts    Succ_gets
   256                93.0              8.1            3908104     2261611   812738                    
   512                107.1             6.6            2636398     2565548   1511985              
   768                107.9             5.8            2574520     2506509   1792539            
   1024               100.9             5.8            2473781     2403955   1895917             
   1280               97.3              5.9            2370511     2303639   1888142         
   1536               95.3              6.7            2357578     2289062   1902688                      
   1792               95.0              6.0            2323476     2253037   1866761
   2048               97.7              6.3            2406286     2337430   1946262
   2304               97.8              6.3            2432064     2363346   1973185
   2560               98.5              6.2            2425146     2354879   1964548
