Linux 4.1.5 (vm2-Standard-PC-i440FX-PIIX-1996) 	Monday 26 June 2017 	_x86_64_	(14 CPU)

10:17:12  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:17:17  IST  all    1.86    0.00    2.70   50.97    0.00    0.00    0.00    0.00    0.00   44.47
10:17:17  IST    0    2.02    0.00    2.42   38.18    0.00    0.00    0.00    0.00    0.00   57.37
10:17:17  IST    1    0.61    0.00    1.41   44.65    0.00    0.00    0.00    0.00    0.00   53.33
10:17:17  IST    2    1.20    0.00    2.61   89.58    0.00    0.00    0.00    0.00    0.00    6.61
10:17:17  IST    3    8.85    0.00    8.25   51.51    0.00    0.00    0.00    0.00    0.00   31.39
10:17:17  IST    4    1.00    0.00    1.40   37.27    0.00    0.00    0.00    0.00    0.00   60.32
10:17:17  IST    5    2.40    0.00    3.21   59.52    0.00    0.00    0.00    0.00    0.00   34.87
10:17:17  IST    6    0.60    0.00    1.60   47.40    0.00    0.00    0.00    0.00    0.00   50.40
10:17:17  IST    7    1.40    0.00    2.80   86.00    0.00    0.00    0.00    0.00    0.00    9.80
10:17:17  IST    8    1.40    0.00    2.00   43.09    0.00    0.00    0.00    0.00    0.00   53.51
10:17:17  IST    9    0.60    0.00    1.61   15.46    0.00    0.00    0.00    0.00    0.00   82.33
10:17:17  IST   10    1.41    0.00    2.01   96.58    0.00    0.00    0.00    0.00    0.00    0.00
10:17:17  IST   11    2.39    0.00    2.99   36.85    0.00    0.00    0.00    0.00    0.00   57.77
10:17:17  IST   12    0.60    0.00    2.41   34.61    0.00    0.00    0.00    0.00    0.00   62.37
10:17:17  IST   13    1.40    0.00    3.00   33.00    0.00    0.00    0.00    0.00    0.00   62.60

10:17:17  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:17:22  IST  all    0.51    0.00    0.83   24.53    0.00    0.00    0.01    0.00    0.00   74.11
10:17:22  IST    0    0.40    0.00    0.40    5.82    0.00    0.00    0.00    0.00    0.00   93.37
10:17:22  IST    1    0.20    0.00    0.00    4.81    0.00    0.00    0.00    0.00    0.00   94.99
10:17:22  IST    2    0.40    0.00    0.20   46.09    0.00    0.00    0.00    0.00    0.00   53.31
10:17:22  IST    3    0.80    0.00    0.20   24.00    0.00    0.00    0.00    0.00    0.00   75.00
10:17:22  IST    4    0.60    0.00    0.40    9.38    0.00    0.00    0.00    0.00    0.00   89.62
10:17:22  IST    5    0.40    0.00    0.40    1.20    0.00    0.00    0.00    0.00    0.00   98.00
10:17:22  IST    6    1.00    0.00    2.21   24.50    0.00    0.00    0.00    0.00    0.00   72.29
10:17:22  IST    7    0.20    0.00    0.20   25.65    0.00    0.00    0.00    0.00    0.00   73.95
10:17:22  IST    8    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
10:17:22  IST    9    1.40    0.00    4.59   50.50    0.00    0.00    0.00    0.00    0.00   43.51
10:17:22  IST   10    0.60    0.00    1.39   66.14    0.00    0.00    0.00    0.00    0.00   31.87
10:17:22  IST   11    0.80    0.00    0.40   47.80    0.00    0.00    0.00    0.00    0.00   51.00
10:17:22  IST   12    0.20    0.00    0.40    5.40    0.00    0.00    0.00    0.00    0.00   94.00
10:17:22  IST   13    0.40    0.00    0.60   32.06    0.00    0.00    0.00    0.00    0.00   66.93

10:17:22  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:17:27  IST  all    0.39    0.00    0.21    4.80    0.00    0.00    0.04    0.00    0.00   94.55
10:17:27  IST    0    0.60    0.00    0.20    4.58    0.00    0.00    0.20    0.00    0.00   94.42
10:17:27  IST    1    0.20    0.00    0.40    1.20    0.00    0.00    0.00    0.00    0.00   98.20
10:17:27  IST    2    0.40    0.00    0.00    2.80    0.00    0.00    0.00    0.00    0.00   96.80
10:17:27  IST    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:17:27  IST    4    1.41    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.39
10:17:27  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:17:27  IST    6    0.40    0.00    0.40   25.25    0.00    0.00    0.00    0.00    0.00   73.95
