Linux 4.1.5 (vm2-Standard-PC-i440FX-PIIX-1996) 	Monday 26 June 2017 	_x86_64_	(14 CPU)

11:00:26  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:31  IST  all    0.24    0.04    0.31   35.17    0.00    0.01    0.01    0.00    0.00   64.20
11:00:31  IST    0    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:00:31  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31  IST    2    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:00:31  IST    3    0.00    0.00    0.00   97.20    0.00    0.00    0.00    0.00    0.00    2.80
11:00:31  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31  IST    5    0.00    0.60    1.61   96.17    0.00    0.00    0.00    0.00    0.00    1.61
11:00:31  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:31  IST    7    0.40    0.00    0.00   98.80    0.00    0.00    0.00    0.00    0.00    0.80
11:00:31  IST    8    0.20    0.00    0.80   76.80    0.00    0.00    0.00    0.00    0.00   22.20
11:00:31  IST    9    0.20    0.00    1.00   98.80    0.00    0.00    0.00    0.00    0.00    0.00
11:00:31  IST   10    2.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   97.41
11:00:31  IST   11    0.20    0.00    0.00   25.70    0.00    0.20    0.00    0.00    0.00   73.90
11:00:31  IST   12    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:00:31  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:31  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:36  IST  all    0.10    0.01    0.16   35.77    0.00    0.00    0.00    0.00    0.00   63.96
11:00:36  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:36  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:36  IST    2    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
11:00:36  IST    3    0.20    0.00    0.00   97.80    0.00    0.20    0.00    0.00    0.00    1.80
11:00:36  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:36  IST    5    0.00    0.20    1.00   98.80    0.00    0.00    0.00    0.00    0.00    0.00
11:00:36  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:36  IST    7    0.20    0.00    0.20   99.60    0.00    0.00    0.00    0.00    0.00    0.00
11:00:36  IST    8    0.00    0.00    0.40   99.60    0.00    0.00    0.00    0.00    0.00    0.00
11:00:36  IST    9    0.00    0.00    0.40   99.60    0.00    0.00    0.00    0.00    0.00    0.00
11:00:36  IST   10    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.60
11:00:36  IST   11    0.40    0.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   93.60
11:00:36  IST   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:00:36  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:00:36  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:00:41  IST  all    0.21    0.01    0.31   33.90    0.00    0.01    0.00    0.00    0.00   65.55
