Linux 4.1.5 (vm2-Standard-PC-i440FX-PIIX-1996) 	Sunday 25 June 2017 	_x86_64_	(14 CPU)

07:41:39  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:41:44  IST  all    0.33    0.00    0.13    6.83    0.00    0.03    0.00    0.00    0.00   92.68
07:41:44  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST    2    1.60    0.00    0.60   27.45    0.00    0.20    0.00    0.00    0.00   70.14
07:41:44  IST    3    1.80    0.00    0.60   68.40    0.00    0.20    0.00    0.00    0.00   29.00
07:41:44  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST    7    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:41:44  IST    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST   10    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:41:44  IST   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:44  IST   13    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.40

07:41:44  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:41:49  IST  all    0.19    0.00    0.10    6.89    0.00    0.03    0.00    0.00    0.00   92.80
07:41:49  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    2    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:41:49  IST    3    2.40    0.00    1.00   96.21    0.00    0.40    0.00    0.00    0.00    0.00
07:41:49  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST   10    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.40
07:41:49  IST   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:49  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:41:49  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:41:54  IST  all    0.24    0.00    0.11    6.89    0.00    0.01    0.00    0.00    0.00   92.74
07:41:54  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST    2    0.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.40
07:41:54  IST    3    2.00    0.00    1.40   95.99    0.00    0.20    0.00    0.00    0.00    0.40
07:41:54  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST    8    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.60
07:41:54  IST    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST   10    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:41:54  IST   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:54  IST   12    0.00    0.00    0.00    0.80    0.00    0.00    0.00    0.00    0.00   99.20
07:41:54  IST   13    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.60

07:41:54  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:41:59  IST  all    0.14    0.00    0.10    7.03    0.00    0.01    0.00    0.00    0.00   92.71
07:41:59  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:59  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:59  IST    2    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:41:59  IST    3    1.81    0.00    1.21   96.78    0.00    0.20    0.00    0.00    0.00    0.00
07:41:59  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:59  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:59  IST    6    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
07:41:59  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:59  IST    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:41:59  IST    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
