Linux 4.1.5 (vm2-Standard-PC-i440FX-PIIX-1996) 	Sunday 25 June 2017 	_x86_64_	(14 CPU)

05:52:57  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:02  IST  all    4.37    0.00    3.18   13.46    0.00    0.77    0.00    0.00    0.00   78.20
05:53:02  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:02  IST    1    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
05:53:02  IST    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:02  IST    3    1.59    0.00    8.96   85.86    0.00    0.20    0.00    0.00    0.00    3.39
05:53:02  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:02  IST    5    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.40
05:53:02  IST    6    3.99    0.00    3.19   86.23    0.00    0.40    0.00    0.00    0.00    6.19
05:53:02  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:02  IST    8    3.64    0.00    4.05    2.23    0.00    0.61    0.00    0.00    0.00   89.47
05:53:02  IST    9   26.86    0.00   16.94   11.98    0.00    3.31    0.00    0.00    0.00   40.91
05:53:02  IST   10    2.02    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   97.37
05:53:02  IST   11    8.20    0.00    1.00    1.60    0.00    0.80    0.00    0.00    0.00   88.40
05:53:02  IST   12   15.17    0.00    9.98    0.00    0.00    5.59    0.00    0.00    0.00   69.26
05:53:02  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:53:02  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:07  IST  all    3.89    0.00    3.35   13.35    0.00    0.83    0.00    0.00    0.00   78.58
05:53:07  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:07  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:07  IST    2    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
05:53:07  IST    3    1.21    0.00    7.86   87.30    0.00    0.20    0.00    0.00    0.00    3.43
05:53:07  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:07  IST    5    0.20    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   99.40
05:53:07  IST    6    4.01    0.00    4.01   86.77    0.00    0.40    0.00    0.00    0.00    4.81
05:53:07  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:07  IST    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:07  IST    9   30.88    0.00   23.51   12.75    0.00    3.78    0.00    0.00    0.00   29.08
05:53:07  IST   10    3.22    0.00    0.60    0.00    0.00    0.40    0.00    0.00    0.00   95.77
05:53:07  IST   11    2.22    0.00    1.41    0.00    0.00    1.01    0.00    0.00    0.00   95.36
05:53:07  IST   12   13.05    0.00    9.05    0.00    0.00    6.11    0.00    0.00    0.00   71.79
05:53:07  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:53:07  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:12  IST  all    4.69    0.00    3.47   12.93    0.00    0.75    0.00    0.00    0.00   78.15
05:53:12  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:12  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:12  IST    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:12  IST    3    2.22    0.00    7.46   83.87    0.00    0.20    0.00    0.00    0.00    6.25
05:53:12  IST    4    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
05:53:12  IST    5    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.40
05:53:12  IST    6    4.79    0.00    4.19   85.63    0.00    0.60    0.00    0.00    0.00    4.79
05:53:12  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:12  IST    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:53:12  IST    9   30.06    0.00   25.77    9.82    0.00    3.68    0.00    0.00    0.00   30.67
05:53:12  IST   10   10.22    0.00    1.00    0.00    0.00    0.40    0.00    0.00    0.00   88.38
05:53:12  IST   11    1.62    0.00    1.62    1.62    0.00    0.41    0.00    0.00    0.00   94.73
05:53:12  IST   12   16.77    0.00    8.79    0.00    0.00    5.32    0.00    0.00    0.00   69.12
05:53:12  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:53:12  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:53:17  IST  all    4.85    0.00    3.23   12.85    0.00    0.92    0.01    0.00    0.00   78.13
05:53:17  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.20    0.00    0.00   99.80
05:53:17  IST    1    0.00    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.80
05:53:17  IST    2    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
05:53:17  IST    3    1.81    0.00    9.48   83.67    0.00    0.20    0.00    0.00    0.00    4.84
05:53:17  IST    4    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
05:53:17  IST    5    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.40
