Linux 4.1.5 (vm2-Standard-PC-i440FX-PIIX-1996) 	Sunday 25 June 2017 	_x86_64_	(14 CPU)

03:00:43  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:00:48  IST  all    1.53    0.00    0.53    5.60    0.00    0.07    0.00    0.00    0.00   92.27
03:00:48  IST    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST    2    2.81    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   96.99
03:00:48  IST    3   12.78    0.00    6.90   79.31    0.00    1.01    0.00    0.00    0.00    0.00
03:00:48  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST    8    5.39    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   94.41
03:00:48  IST    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST   10    0.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.40
03:00:48  IST   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:48  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:00:48  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:00:53  IST  all    3.24    0.00    0.44    5.47    0.00    0.11    0.00    0.00    0.00   90.73
03:00:53  IST    0   14.37    0.00    0.20    0.00    0.00    0.40    0.00    0.00    0.00   85.03
03:00:53  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:53  IST    2   12.00    0.00    3.20   46.20    0.00    0.80    0.00    0.00    0.00   37.80
03:00:53  IST    3   13.03    0.00    2.40   29.66    0.00    0.40    0.00    0.00    0.00   54.51
03:00:53  IST    4    2.99    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   96.81
03:00:53  IST    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
03:00:53  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:53  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:53  IST    8    1.60    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   98.20
03:00:53  IST    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:53  IST   10    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
03:00:53  IST   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:53  IST   12    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
03:00:53  IST   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

03:00:53  IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:00:58  IST  all    1.30    0.00    0.51    5.79    0.00    0.09    0.00    0.00    0.00   92.31
03:00:58  IST    0    4.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   95.00
03:00:58  IST    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:58  IST    2   11.38    0.00    7.39   79.84    0.00    1.20    0.00    0.00    0.00    0.20
03:00:58  IST    3    1.79    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.21
03:00:58  IST    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:58  IST    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:58  IST    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:58  IST    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
03:00:58  IST    8    0.40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.60
